Product ID,Product Name,Category,Price,Units Sold,Total Sales,Rating,Review Sentiment,Market,Date
B0001,Aromatherapy Eucalyptus,Lotion,6.25,73,456.25,4.9,Positive,US,14-01-2024
B0002,Dark Kiss,Shower Gel,10.97,146,1601.62,3.2,Positive,Germany,07-06-2024
B0003,Crisp Morning Air,Hand Soap,14.82,66,978.12,4.5,Neutral,Australia,09-03-2024
B0004,Mahogany Teakwood,Candle,24.64,98,2414.72,4.3,Neutral,Germany,14-03-2024
B0005,Warm Vanilla Sugar,Lotion,9.63,189,1820.07,4.2,Neutral,Canada,25-06-2024
B0006,Champagne Toast,Candle,22.04,52,1146.08,3.4,Neutral,US,06-02-2024
B0007,Crisp Morning Air,Hand Soap,13.35,55,734.25,4.9,Neutral,Germany,13-02-2024
B0008,Aromatherapy Eucalyptus,Lotion,13.8,131,1807.8,4.2,Positive,Australia,04-03-2024
B0009,Warm Vanilla Sugar,Lotion,25.47,155,3947.85,4.4,Positive,India,28-02-2024
B0010,Ocean,Shower Gel,23.87,34,811.58,3.2,Neutral,Australia,26-03-2024
B0011,Peach Bellini,Hand Soap,13.77,149,2051.73,3.5,Positive,Australia,03-04-2024
B0012,Japanese Cherry Blossom,Lotion,12.53,95,1190.35,4.8,Neutral,Australia,01-06-2024
B0013,Japanese Cherry Blossom,Lotion,22.14,196,4339.44,4.3,Positive,Canada,15-04-2024
B0014,Champagne Toast,Candle,17.45,72,1256.4,4.2,Positive,UK,20-04-2024
B0015,Fresh Balsam,Candle,7.23,106,766.38,4.3,Negative,Germany,09-06-2024
B0016,Dark Kiss,Shower Gel,29.68,144,4273.92,3.3,Negative,UK,30-03-2024
B0017,Peach Bellini,Hand Soap,15.43,80,1234.4,3.6,Positive,Germany,13-05-2024
B0018,A Thousand Wishes,Mist,8.07,126,1016.82,4.1,Neutral,UK,29-03-2024
B0019,Warm Vanilla Sugar,Lotion,17.47,185,3231.95,3.3,Positive,UK,13-05-2024
B0020,Sweet Pea,Shower Gel,21.61,87,1880.07,4,Positive,US,16-03-2024
B0021,Kitchen Lemon,Hand Soap,10.43,161,1679.23,3.2,Positive,Australia,02-01-2024
B0022,A Thousand Wishes,Mist,25.85,22,568.7,3.5,Positive,India,13-03-2024
B0023,Ocean,Shower Gel,28.84,192,5537.28,3.5,Negative,Australia,20-02-2024
B0024,Ocean,Shower Gel,12.27,18,220.86,3.9,Positive,Germany,26-07-2024
B0025,Crisp Morning Air,Hand Soap,14.98,35,524.3,4.8,Negative,UK,01-06-2024
B0026,Fresh Balsam,Candle,15.9,92,1462.8,4.6,Positive,Canada,15-07-2024
B0027,Into the Night,Mist,15.41,61,940.01,3.6,Positive,Germany,25-05-2024
B0028,Peach Bellini,Hand Soap,9.58,121,1159.18,3.2,Positive,UK,26-06-2024
B0029,Sweet Pea,Shower Gel,22.81,129,2942.49,3.7,Positive,Australia,15-04-2024
B0030,Aromatherapy Eucalyptus,Lotion,5.66,117,662.22,3.2,Positive,Canada,18-03-2024
B0031,Sweet Pea,Shower Gel,14.33,168,2407.44,4.1,Positive,US,16-03-2024
B0032,Kitchen Lemon,Hand Soap,15.07,11,165.77,3.9,Neutral,Australia,12-05-2024
B0033,Warm Vanilla Sugar,Lotion,6.37,176,1121.12,3.2,Positive,UK,29-07-2024
B0034,Dark Kiss,Shower Gel,22.26,25,556.5,3.2,Positive,Germany,10-05-2024
B0035,Aromatherapy Eucalyptus,Lotion,10.13,46,465.98,4.1,Negative,Canada,04-02-2024
B0036,Champagne Toast,Candle,20.71,194,4017.74,5,Positive,India,04-05-2024
B0037,Mahogany Teakwood,Candle,6.68,49,327.32,4.2,Positive,Canada,25-01-2024
B0038,Mahogany Teakwood,Candle,16.84,139,2340.76,3.9,Positive,UK,01-02-2024
B0039,Crisp Morning Air,Hand Soap,29.57,70,2069.9,4.7,Positive,India,29-07-2024
B0040,Peach Bellini,Hand Soap,20.43,120,2451.6,3.3,Positive,Germany,06-02-2024
B0041,Mahogany Teakwood,Candle,17.79,189,3362.31,4.1,Positive,UK,15-03-2024
B0042,Aromatherapy Eucalyptus,Lotion,17.32,180,3117.6,3.6,Positive,US,23-07-2024
B0043,Crisp Morning Air,Hand Soap,25.34,47,1190.98,3.1,Positive,Australia,24-05-2024
B0044,Aromatherapy Eucalyptus,Lotion,12.57,175,2199.75,4.3,Positive,US,23-04-2024
B0045,Into the Night,Mist,16.7,195,3256.5,3.9,Positive,UK,10-02-2024
B0046,Sweet Pea,Shower Gel,10.27,190,1951.3,4.1,Positive,Germany,14-02-2024
B0047,Champagne Toast,Candle,21.4,154,3295.6,3.7,Neutral,Canada,20-07-2024
B0048,A Thousand Wishes,Mist,12.57,110,1382.7,3.1,Neutral,Australia,03-05-2024
B0049,Peach Bellini,Hand Soap,21.47,157,3370.79,4.4,Positive,India,17-06-2024
B0050,Into the Night,Mist,22.44,160,3590.4,4.9,Positive,Australia,07-06-2024
B0051,Warm Vanilla Sugar,Lotion,5.74,197,1130.78,3.3,Positive,Australia,28-01-2024
B0052,Crisp Morning Air,Hand Soap,24,197,4728,4.6,Positive,Germany,14-02-2024
B0053,Crisp Morning Air,Hand Soap,28.06,25,701.5,4.2,Positive,US,10-07-2024
B0054,Crisp Morning Air,Hand Soap,20.16,17,342.72,4.8,Positive,Australia,27-06-2024
B0055,Kitchen Lemon,Hand Soap,29.72,156,4636.32,4.1,Positive,Australia,05-05-2024
B0056,Into the Night,Mist,10.03,51,511.53,3.9,Positive,Canada,21-07-2024
B0057,Aromatherapy Eucalyptus,Lotion,5.61,181,1015.41,3.2,Positive,US,05-02-2024
B0058,Gingham Love,Mist,19.21,28,537.88,3.7,Positive,Germany,05-07-2024
B0059,Dark Kiss,Shower Gel,9.75,63,614.25,4.1,Positive,UK,31-03-2024
B0060,Sweet Pea,Shower Gel,26.34,27,711.18,3.9,Positive,India,19-01-2024
B0061,Warm Vanilla Sugar,Lotion,24.56,86,2112.16,3.2,Positive,India,14-01-2024
B0062,Dark Kiss,Shower Gel,5.56,84,467.04,4.8,Positive,UK,29-06-2024
B0063,Warm Vanilla Sugar,Lotion,29.2,29,846.8,4.1,Positive,India,12-05-2024
B0064,Dark Kiss,Shower Gel,14.98,24,359.52,4.1,Neutral,Australia,29-05-2024
B0065,A Thousand Wishes,Mist,5.75,96,552,3.8,Positive,US,14-07-2024
B0066,Mahogany Teakwood,Candle,18.68,197,3679.96,3.7,Neutral,Canada,16-01-2024
B0067,Kitchen Lemon,Hand Soap,25.14,154,3871.56,4.8,Neutral,US,14-07-2024
B0068,Into the Night,Mist,28.75,163,4686.25,4.5,Negative,Australia,21-05-2024
B0069,Champagne Toast,Candle,23.08,36,830.88,3.1,Positive,UK,15-06-2024
B0070,Crisp Morning Air,Hand Soap,12.59,68,856.12,3,Positive,Canada,17-07-2024
B0071,Sweet Pea,Shower Gel,26.51,184,4877.84,4.4,Positive,US,03-05-2024
B0072,Crisp Morning Air,Hand Soap,22.39,120,2686.8,4.4,Positive,Australia,30-01-2024
B0073,Aromatherapy Eucalyptus,Lotion,29.56,104,3074.24,3.7,Positive,Canada,15-01-2024
B0074,Mahogany Teakwood,Candle,19.72,68,1340.96,3.8,Neutral,India,25-07-2024
B0075,Ocean,Shower Gel,29.77,13,387.01,4.7,Positive,US,15-01-2024
B0076,Warm Vanilla Sugar,Lotion,15.96,82,1308.72,3.1,Positive,Canada,16-06-2024
B0077,Into the Night,Mist,20.15,132,2659.8,4.3,Positive,UK,20-01-2024
B0078,Ocean,Shower Gel,17.37,198,3439.26,4.6,Neutral,Australia,26-02-2024
B0079,Gingham Love,Mist,24.51,84,2058.84,4.7,Positive,UK,09-03-2024
B0080,Sweet Pea,Shower Gel,7.61,98,745.78,4.8,Neutral,Australia,08-06-2024
B0081,Into the Night,Mist,10.09,45,454.05,4.7,Positive,Germany,19-03-2024
B0082,Ocean,Shower Gel,8.07,195,1573.65,4.6,Positive,Germany,01-03-2024
B0083,Peach Bellini,Hand Soap,24.1,39,939.9,3,Neutral,UK,10-03-2024
B0084,Dark Kiss,Shower Gel,12.51,31,387.81,3.1,Neutral,Australia,08-04-2024
B0085,Japanese Cherry Blossom,Lotion,14.62,21,307.02,3.4,Positive,Australia,17-06-2024
B0086,Ocean,Shower Gel,21.51,18,387.18,4.1,Positive,India,07-01-2024
B0087,Gingham Love,Mist,25.26,161,4066.86,3.4,Positive,India,04-07-2024
B0088,Crisp Morning Air,Hand Soap,24.57,198,4864.86,4.5,Neutral,Australia,21-05-2024
B0089,A Thousand Wishes,Mist,16.59,156,2588.04,4.4,Neutral,Canada,07-03-2024
B0090,Crisp Morning Air,Hand Soap,23.64,70,1654.8,3.3,Positive,Germany,23-07-2024
B0091,Into the Night,Mist,29.97,148,4435.56,3.6,Positive,India,10-01-2024
B0092,Gingham Love,Mist,11.72,74,867.28,4.6,Neutral,US,04-06-2024
B0093,Japanese Cherry Blossom,Lotion,19.21,92,1767.32,4.7,Neutral,Australia,23-04-2024
B0094,Japanese Cherry Blossom,Lotion,5.22,19,99.18,4.9,Positive,Canada,22-05-2024
B0095,Kitchen Lemon,Hand Soap,19.49,30,584.7,3.6,Positive,US,21-03-2024
B0096,Kitchen Lemon,Hand Soap,11.45,80,916,3.5,Positive,Germany,28-02-2024
B0097,Mahogany Teakwood,Candle,26.78,177,4740.06,3.1,Positive,Canada,10-01-2024
B0098,Dark Kiss,Shower Gel,19.5,20,390,4.1,Positive,UK,01-07-2024
B0099,Into the Night,Mist,21.96,100,2196,4.1,Positive,UK,01-03-2024
B0100,Warm Vanilla Sugar,Lotion,17.67,38,671.46,4,Positive,India,24-03-2024
B0101,A Thousand Wishes,Mist,15.4,174,2679.6,3.9,Positive,UK,07-01-2024
B0102,Dark Kiss,Shower Gel,13.37,114,1524.18,4.8,Positive,India,16-03-2024
B0103,Warm Vanilla Sugar,Lotion,14.21,84,1193.64,4.9,Negative,US,07-01-2024
B0104,Ocean,Shower Gel,25.2,140,3528,4.4,Neutral,India,19-07-2024
B0105,Into the Night,Mist,14.47,159,2300.73,3.1,Neutral,Germany,07-04-2024
B0106,Warm Vanilla Sugar,Lotion,28.97,67,1940.99,4.1,Negative,India,10-06-2024
B0107,Peach Bellini,Hand Soap,23.33,145,3382.85,4.6,Positive,India,17-06-2024
B0108,Dark Kiss,Shower Gel,12.92,59,762.28,4.7,Positive,UK,03-03-2024
B0109,Champagne Toast,Candle,10.77,90,969.3,4.5,Positive,Australia,02-03-2024
B0110,Crisp Morning Air,Hand Soap,6.99,153,1069.47,4,Negative,Australia,16-06-2024
B0111,Ocean,Shower Gel,16.22,117,1897.74,3.5,Neutral,India,02-02-2024
B0112,Champagne Toast,Candle,21.85,180,3933,3.3,Positive,UK,14-03-2024
B0113,Into the Night,Mist,7.04,117,823.68,4,Positive,Germany,06-05-2024
B0114,Mahogany Teakwood,Candle,26.91,13,349.83,3.3,Positive,India,14-07-2024
B0115,Peach Bellini,Hand Soap,7.52,18,135.36,4.7,Positive,US,12-02-2024
